Ticker,Date,Open,Close
aapl,2018-06-30 00:00:00-04:00,44.53,44.45
aapl,2018-07-31 00:00:00-04:00,45.44,45.47
aapl,2018-08-31 00:00:00-04:00,50.89,51.1
aapl,2018-09-30 00:00:00-04:00,53.31,53.24
aapl,2018-10-31 00:00:00-04:00,53.03,52.95
aapl,2018-11-30 00:00:00-05:00,46.11,45.97
aapl,2018-12-31 00:00:00-05:00,39.76,39.52
aapl,2019-01-31 00:00:00-05:00,36.96,37.09
aapl,2019-02-28 00:00:00-05:00,41.37,41.45
aapl,2019-03-31 00:00:00-04:00,44.27,44.29
aapl,2019-04-30 00:00:00-04:00,48.29,48.45
aapl,2019-05-31 00:00:00-04:00,46.25,46.33
aapl,2019-06-30 00:00:00-04:00,46.73,46.81
aapl,2019-07-31 00:00:00-04:00,49.74,49.78
aapl,2019-08-31 00:00:00-04:00,49.93,49.85
aapl,2019-09-30 00:00:00-04:00,53.01,53.08
aapl,2019-10-31 00:00:00-04:00,57.2,57.29
aapl,2019-11-30 00:00:00-05:00,63.87,64.07
aapl,2019-12-31 00:00:00-05:00,67.25,67.53
aapl,2020-01-31 00:00:00-05:00,75.99,76.17
aapl,2020-02-29 00:00:00-05:00,75.92,76.16
aapl,2020-03-31 00:00:00-04:00,63.91,64.24
aapl,2020-04-30 00:00:00-04:00,66.54,66.68
aapl,2020-05-31 00:00:00-04:00,75.77,76.04
aapl,2020-06-30 00:00:00-04:00,84.57,84.88
aapl,2020-07-31 00:00:00-04:00,93.68,93.83
aapl,2020-08-31 00:00:00-04:00,115.01,115.34
aapl,2020-09-30 00:00:00-04:00,114.17,113.23
aapl,2020-10-31 00:00:00-04:00,114.78,114.5
aapl,2020-11-30 00:00:00-05:00,114.99,115.07
aapl,2020-12-31 00:00:00-05:00,125.28,125.42
aapl,2021-01-31 00:00:00-05:00,131.14,131.08
aapl,2021-02-28 00:00:00-05:00,130.23,129.75
aapl,2021-03-31 00:00:00-04:00,120.47,120.26
aapl,2021-04-30 00:00:00-04:00,129.93,130.07
aapl,2021-05-31 00:00:00-04:00,125.52,125.27
aapl,2021-06-30 00:00:00-04:00,127.99,128.45
aapl,2021-07-31 00:00:00-04:00,142.9,143.46
aapl,2021-08-31 00:00:00-04:00,146.32,146.64
aapl,2021-09-30 00:00:00-04:00,147.5,146.81
aapl,2021-10-31 00:00:00-04:00,143.51,144.09
aapl,2021-11-30 00:00:00-05:00,152.23,152.88
aapl,2021-12-31 00:00:00-05:00,171.66,172.05
aapl,2022-01-31 00:00:00-05:00,168.73,168.39
aapl,2022-02-28 00:00:00-05:00,168.35,168.54
aapl,2022-03-31 00:00:00-04:00,163.59,164.09
aapl,2022-04-30 00:00:00-04:00,166.24,165.59
aapl,2022-05-31 00:00:00-04:00,147.4,147.5
aapl,2022-06-30 00:00:00-04:00,139.12,138.97
aapl,2022-07-31 00:00:00-04:00,147.56,148.78
